frame,avg_diameter_px,max_diameter_px,min_diameter_px,area_px
0,90.04861111111111,263,3,3266
62,166.80794701986756,335,2,8689
92,139.4,335,18,8602
94,20.75,30,7,217
107,85.90441176470588,293,2,3043
121,158.04166666666666,334,4,8171
132,105.93661971830986,335,1,2898
173,119.9119496855346,295,2,3869
178,143.08552631578948,326,5,8441
180,115.9375,303,3,3693
238,118.72222222222223,295,3,3965
264,134.79850746268656,334,4,4038
312,96.4625,319,3,3691
421,135.40441176470588,343,2,7607
441,82.54716981132076,295,2,3638
498,127.525,335,3,3414
555,79.85185185185185,271,1,2984
635,107.0251572327044,318,3,3632
690,127.61184210526316,335,3,8065
743,85.6125,271,3,3466
850,105.95454545454545,319,2,9047
854,105.38888888888889,327,3,3136
952,83.32954545454545,327,2,3219
1040,104.5079365079365,327,2,2768
1086,122.85526315789474,335,7,7725
1096,100.0,326,3,3479
1119,99.40441176470588,334,2,2972
1152,113.91472868217055,334,2,3164
1176,109.1796875,334,11,6892
1178,93.4296875,334,4,2928
1254,110.1044776119403,335,2,3169
1310,111.99305555555556,303,3,3391
